Danh mục,Thành phần,Lựa chọn,Phương án thay thế,Tiêu chí,Điểm lựa chọn,Điểm thay thế,Lý do lựa chọn
Bộ điều khiển bay,Firmware,ArduPilot,iNav,Khả năng nhiệm vụ,Xuất sắc,Hạn chế,ArduPilot hỗ trợ mission planning chuyên nghiệp
Bộ điều khiển bay,Firmware,ArduPilot,iNav,Hỗ trợ động cơ kép,Xuất sắc,Không hỗ trợ,Flying wing cần differential thrust control
Bộ điều khiển bay,Firmware,ArduPilot,iNav,Tích hợp MAVLink,Xuất sắc,Cơ bản,Cần giao tiếp tốt với RPi companion
Bộ điều khiển bay,Firmware,ArduPilot,iNav,Cộng đồng & Tài liệu,Xuất sắc,Nhỏ hơn,Dễ debug và phát triển
Bộ điều khiển bay,Firmware,ArduPilot,iNav,Hàng rào ảo,Xuất sắc,Cơ bản,An toàn cho BVLOS operations
Hệ thống nguồn,Pin,Li-ion 6S2P 10400mAh,LiPo 6S,Mật độ năng lượng,Xuất sắc,Tốt,Thời gian bay dài hơn (60-90 phút)
Hệ thống nguồn,Pin,Li-ion 6S2P 10400mAh,LiPo 6S,Tuổi thọ chu kỳ,Xuất sắc,Trung bình,Độ bền cao - chi phí vận hành thấp
Hệ thống nguồn,Pin,Li-ion 6S2P 10400mAh,LiPo 6S,An toàn,Xuất sắc,Kém,An toàn cho autonomous operations
Hệ thống nguồn,Pin,Li-ion 6S2P 10400mAh,LiPo 6S,Chi phí,Trung bình,Xuất sắc,ROI tốt hơn theo thời gian
Hệ thống nguồn,Pin,Li-ion 6S2P 10400mAh,LiPo 6S,Trọng lượng,Trung bình,Xuất sắc,Trade-off chấp nhận được cho flight time
AI & Thị giác máy,Thuật toán theo dõi,KCF Tracker,YOLO Real-time,Sử dụng CPU,Xuất sắc,Kém,Để CPU cho các tasks khác
AI & Thị giác máy,Thuật toán theo dõi,KCF Tracker,YOLO Real-time,Tốc độ khung hình,Xuất sắc,Trung bình,Real-time performance tốt hơn
AI & Thị giác máy,Thuật toán theo dõi,KCF Tracker,YOLO Real-time,Độ chính xác,Tốt,Xuất sắc,KCF đủ tốt sau khi detect bằng MobileNet
AI & Thị giác máy,Thuật toán theo dõi,KCF Tracker,YOLO Real-time,Sử dụng bộ nhớ,Xuất sắc,Kém,Phù hợp với RPi 1GB RAM
AI & Thị giác máy,Thuật toán theo dõi,KCF Tracker,YOLO Real-time,Tiêu thụ điện,Xuất sắc,Kém,Tiết kiệm pin cho flight time
AI & Thị giác máy,Model nhận diện,MobileNet SSD,YOLOv4-tiny,Tốc độ,Xuất sắc,Trung bình,10-15 FPS trên RPi
AI & Thị giác máy,Model nhận diện,MobileNet SSD,YOLOv4-tiny,Độ chính xác,Tốt,Xuất sắc,70-80% mAP vs 80-85% mAP
AI & Thị giác máy,Model nhận diện,MobileNet SSD,YOLOv4-tiny,Kích thước model,Xuất sắc,Trung bình,8-12MB vs 20-25MB
AI & Thị giác máy,Model nhận diện,MobileNet SSD,YOLOv4-tiny,Hỗ trợ TFLite,Xuất sắc,Tốt,Hỗ trợ TFLite xuất sắc
Phần cứng,Máy tính đồng hành,Raspberry Pi 3B+,Raspberry Pi 4,Tiêu thụ điện,Xuất sắc,Tốt,2.5-3.5W vs 3-6W
Phần cứng,Máy tính đồng hành,Raspberry Pi 3B+,Raspberry Pi 4,Chi phí,Xuất sắc,Tốt,35 USD vs 55 USD
Phần cứng,Máy tính đồng hành,Raspberry Pi 3B+,Raspberry Pi 4,Hiệu suất AI,Tốt,Xuất sắc,Đủ cho nhu cầu của dự án
Phần cứng,Máy tính đồng hành,Raspberry Pi 3B+,Raspberry Pi 4,Hỗ trợ cộng đồng,Xuất sắc,Xuất sắc,Cộng đồng hỗ trợ xuất sắc
Phần cứng,Máy tính đồng hành,Raspberry Pi 3B+,Raspberry Pi 4,Kích thước/Trọng lượng,Xuất sắc,Xuất sắc,Nhỏ gọn - nhẹ
Phần cứng,Camera,Raspberry Pi Camera,USB Webcam,Độ trễ,Xuất sắc,Trung bình,Rất thấp (giao diện CSI)
Phần cứng,Camera,Raspberry Pi Camera,USB Webcam,Sử dụng CPU,Xuất sắc,Trung bình,Thấp (tăng tốc phần cứng)
Phần cứng,Camera,Raspberry Pi Camera,USB Webcam,Tích hợp,Xuất sắc,Trung bình,Native với RPi
Phần cứng,Camera,Raspberry Pi Camera,USB Webcam,Độ tin cậy,Xuất sắc,Trung bình,Ổn định - kết nối chuyên dụng
Giao tiếp,Giao thức,MAVLink 2.0,ROS,Tiêu chuẩn hóa,Xuất sắc,Xuất sắc,Tiêu chuẩn công nghiệp vs Tiêu chuẩn học thuật
Giao tiếp,Giao thức,MAVLink 2.0,ROS,Tích hợp ArduPilot,Xuất sắc,Trung bình,Hỗ trợ native vs Cần bridge
Giao tiếp,Giao thức,MAVLink 2.0,ROS,Hiệu quả message,Xuất sắc,Trung bình,Binary protocol vs XML-based
Giao tiếp,Giao thức,MAVLink 2.0,ROS,Công cụ,Xuất sắc,Xuất sắc,Mission Planner - QGC vs ROS tools
Giao tiếp,Giao thức,MAVLink 2.0,ROS,Độ tin cậy,Xuất sắc,Xuất sắc,Đã được kiểm chứng thực tế
Giao tiếp,Không dây,5G,WiFi 5GHz,Phạm vi,Xuất sắc,Trung bình,Hàng km (BVLOS) vs 500m-1km
Giao tiếp,Không dây,5G,WiFi 5GHz,Băng thông,Xuất sắc,Xuất sắc,100+ Mbps vs 200-500 Mbps
Giao tiếp,Không dây,5G,WiFi 5GHz,Độ trễ,Xuất sắc,Xuất sắc,10-30ms vs 5-10ms
Giao tiếp,Không dây,5G,WiFi 5GHz,Streaming video,Xuất sắc,Xuất sắc,Real-time HD cho cả hai
Giao tiếp,Không dây,5G,WiFi 5GHz,Hạ tầng,Trung bình,Kém,Cần vùng phủ 5G vs Phạm vi hạn chế
Thuật toán,Hệ thống điều khiển,Differential Thrust,Mặt điều khiển,Độ phức tạp cơ khí,Xuất sắc,Kém,Đơn giản - không cần servo/linkage
Thuật toán,Hệ thống điều khiển,Differential Thrust,Mặt điều khiển,Độ tin cậy,Xuất sắc,Kém,Ít bộ phận chuyển động
Thuật toán,Hệ thống điều khiển,Differential Thrust,Mặt điều khiển,Hiệu suất khí động,Kém,Xuất sắc,Mất hiệu suất vs Khí động sạch
Thuật toán,Hệ thống điều khiển,Differential Thrust,Mặt điều khiển,Khả năng điều khiển,Trung bình,Xuất sắc,Đủ cho bay hành trình vs Cơ động xuất sắc
